timestep,demand_el,pv,demand_th
108,305864.2953932,0.12442,0.2864017358
109,306865.8277694,0.10471,0.2776032688
110,305222.7608297,0.085151,0.2763301771
111,301142.7856199,0.052307,0.2806759242
112,298585.8780789,0.016081,0.2901928502
113,301673.5516257,0,0.3008009374
114,315150.3928164,0,0.3179756685
115,318348.8349209,0,0.331919435
116,313221.1737692,0,0.320078463
117,299015.1062401,0,0.2985290497
118,285884.4167923,0,0.2557710917
119,280784.4477801,0,0.1835658699
120,262627.6350253,0,0.1762032383
121,249206.1781134,0,0.1727600376
122,239144.7007861,0,0.1774486003
123,232249.3580674,0,0.1849768878
124,228247.8439193,0,0.198377213
125,228732.4563594,0,0.2334336342
126,233227.8136606,0,0.3090781543
127,249533.8684301,0,0.3621553123
128,274466.0246328,0,0.3496276187
129,285898.2628621,0,0.3293109494
130,289996.6994981,0.065084,0.3112578832
131,294847.4392555,0.17832,0.2890211734
132,299712.0250825,0.22241,0.2756799032
133,299970.4850506,0.20579,0.2672108186
134,295973.5862591,0.16543,0.2659853869
135,291344.3836172,0.10124,0.2701684451
136,289456.7027792,0.033614,0.2793290922
137,292567.4531088,0,0.2895400515
138,307031.980606,0,0.3060718235
139,312219.6413931,0,0.3194935864
140,306639.6752973,0,0.308095897
141,292188.9938699,0,0.2873532149
142,282561.3600604,0,0.2461959584
143,279565.9936451,0,0.1766938357
144,263587.6291923,0,0.1696068341
145,249510.7916472,0,0.1469452338
146,238558.5505015,0,0.1500444621
147,232106.2820136,0,0.1569258683
148,228478.6117479,0,0.1740503842
149,230952.4428706,0,0.2175136794
150,241156.9962516,0,0.2993166845
151,266139.9213767,0,0.3541620446
152,297625.8839119,0,0.3316082816
153,307655.0537432,0,0.3062301219
154,308287.3575936,0.00060963,0.2851263663
155,310562.7283837,0.006088,0.2630026701
156,313235.0198389,0.0074218,0.2502968704
157,312976.5598709,0.0053112,0.2435902264
158,310087.3466567,0.0039527,0.2437331516
159,306081.2171521,0.0015335,0.246778243
160,304941.2240788,0,0.2542671496
161,305795.0650446,0,0.2675343843
162,320905.7424619,0,0.2856671632
163,324574.9509367,0,0.297276272
164,320148.823984,0,0.2837494791
165,306182.7549967,0,0.2626769986
166,294173.5971959,0,0.2184679538
